> SELECT n.name agency, c.name camera FROM network n INNER JOIN camera c ON n.network_id = c.network_id ORDER BY n.name, c.name LIMIT 2000;
+----------------------------------+---------------------------------------------------------------------------------------------------------+
| agency                           | camera                                                                                                  |
| City of Millbrae CA              | 20: Magnolia Ave NB @ Murchison Dr                                                                      |
| City of Millbrae CA              | 21: Park Blvd EB @ Santa Teresa Way                                                                     |
| City of Millbrae CA              | 22: Broadway NB @ Hillcrest                                                                             |
| City of Millbrae CA              | 23: Hillcrest Blvd EB @ El Camino                                                                       |
| Colma CA PD                      | #01 Serramonte Blvd (WB)                                                                                |
| Colma CA PD                      | #02 Serramonte Blvd (WB)                                                                                |
| Colma CA PD                      | 01: Junipero Serra SB @ Colma Blvd                                                                      |
| Colma CA PD                      | 02: Junipero Serra NB @ Serra Center                                                                    |
| Colma CA PD                      | 03: 1500 Hillside Blvd NB @ F St                                                                        |
| Colma CA PD                      | 04: EB Serramonte Blvd  @ EB Junipero Serra                                                             |
| Contra Costa CA SO Alamo P5      | 01 - Roundhill Dr WB @ Stone Valley Rd                                                                  |
| Contra Costa CA SO Alamo P5      | 02: Roundhill Rd NB @ Stone Valley                                                                      |
| Contra Costa CA SO Alamo P5      | 03: St Paul Dr NB @ Stone Valley                                                                        |
| Contra Costa CA SO Alamo P5      | 04: Roundhill EB @ Las Quebradas                                                                        |
| Contra Costa CA SO Alamo P5      | 05: Bolla Ave EB @ St Paul Dr                                                                           |
| Contra Costa CA SO Alamo P5      | 06: Roundhill Dr EB @ Stone Valley                                                                      |
| Danville CA PD                   | #03 SB DanvilleBlvd/Camille Ave                                                                         |
| Danville CA PD                   | #04 - SB El Pintado/La Gonda                                                                            |
| Danville CA PD                   | #05 NB El Pintado/680                                                                                   |
| Danville CA PD                   | #06 - NB Danville / El Cerro                                                                            |
| Danville CA PD                   | #07 - SB Danville/El Cerro                                                                              |
| Danville CA PD                   | #08 - SB La Gonda/El Cerro                                                                              |
| Danville CA PD                   | #09 - WB El Cerro/680                                                                                   |
| Danville CA PD                   | #10 - SB W El Pintado/El Cerro                                                                          |
| Danville CA PD                   | #11 EB El Cerro/680                                                                                     |
| Danville CA PD                   | #12 - EB Diablo/El Cerro                                                                                |
| Danville CA PD                   | #13 - WB Diablo/Green Valley                                                                            |
| Danville CA PD                   | #14 - NB Green Valley/Diablo                                                                            |
| Danville CA PD                   | #15 - EB Diablo/Green Valley                                                                            |
| Danville CA PD                   | #16 - SB Green Valley/Stone Valley                                                                      |
| Danville CA PD                   | #17 - Diablo WB/680                                                                                     |
| Danville CA PD                   | #18 - EB Diablo/Via Hermosa                                                                             |
| Danville CA PD                   | #19 - WB Sycamore Valley/SRVB                                                                           |
| Danville CA PD                   | #20 - NB SRVB/Sycamore Valley                                                                           |
| Danville CA PD                   | #21 - SB SRVB/Sycamore Valley                                                                           |
| Danville CA PD                   | #22 - EB Sycamore Valley/Camino Ramon                                                                   |
| Danville CA PD                   | #23 - SB Camino Ramon/Sycamore Valley                                                                   |
| Danville CA PD                   | #24 - Park and Ride                                                                                     |
| Danville CA PD                   | #25 EB Camino Tass/Sycamore Valley                                                                      |
| Danville CA PD                   | #26 - WB Sycamore Valley/Camino Tass                                                                    |
| Danville CA PD                   | #27 - NB Old Camino Tass/Sycamore Valley                                                                |
| Danville CA PD                   | #28 - NB SRVB/Ridgeland                                                                                 |
| Danville CA PD                   | #29 - NB Camino Ramon/Fostoria                                                                          |
| Danville CA PD                   | #30 - EB Fostoria/Camino Ramon                                                                          |
| Danville CA PD                   | #31 - NB El Captain/Crow Canyon                                                                         |
| Danville CA PD                   | #32 - EB Camino Tassajara/Crow Canyon                                                                   |
| Danville CA PD                   | #33 - Crow Canyon NB/Diablo Vista                                                                       |
| Danville CA PD                   | #34 - Camino Tassajara WB/Crow Canyon                                                                   |
| Danville CA PD                   | #35 - SB Blackhawk/Silver Oak                                                                           |
| Danville CA PD                   | #36 - WB Camino Tass/Lawrence                                                                           |
| Danville CA PD                   | #37 - WB Camino Tass/Highland                                                                           |
| Danville CA PD                   | #38: Crow Canyon NB at Reedland Cir                                                                     |
| Danville CA PD                   | Danville Demo #2                                                                                        |
| Dixon CA PD                      | #13 EB Vaughn Rd @ Pedrick Rd                                                                           |
| Dixon CA PD                      | #14 SB Porter Rd @ S Lincoln St                                                                         |
| Dixon CA PD                      | #15 S 1st St @ Parkway Blvd                                                                             |
| Dixon CA PD                      | #16 WB Vaughn Rd @ Pedrick Rd                                                                           |
| Dixon CA PD                      | #17 NB Porter Rd @ S Lincoln St                                                                         |
| Dixon CA PD                      | #18 N 1st St @ Parkway Blvd                                                                             |
| Dixon CA PD                      | #19 Stratford Ave @ N 1st St - WB                                                                       |
| Dixon CA PD                      | #20 Stratford Ave @ N 1st street EB                                                                     |
| Dixon CA PD                      | #20 Stratford Ave @ N 1st street EB - original                                                          |
| Dixon CA PD                      | #21 Pitt School Rd @ Porter Rd - SB                                                                     |
| Dixon CA PD                      | 01: A St EB x HWY 80                                                                                    |
| Dixon CA PD                      | 02: A St WB @ HWY 80                                                                                    |
| Dixon CA PD                      | 03: Stratford Ave EB @ HWY 80                                                                           |
| Dixon CA PD                      | 04: Stratford WB @ Commercial Way                                                                       |
| Dixon CA PD                      | 04: Stratford WB @ Commercial Way - original                                                            |
| Dixon CA PD                      | 05: Pitt School Rd SB @ Stratford                                                                       |
| Dixon CA PD                      | 06: Pitt School Rd NB @ Stratford                                                                       |
| Dixon CA PD                      | 07: 1st St NB @ Dorset                                                                                  |
| Dixon CA PD                      | 08: 1st SB @ HWY 80                                                                                     |
| Dixon CA PD                      | 09: 1st NB @ A St                                                                                       |
| Dixon CA PD                      | 10: 1st SB @ A St                                                                                       |
| Dixon CA PD                      | 11: A St EB @ 1st St                                                                                    |
| Dixon CA PD                      | 12: A St WB @ 1st St                                                                                    |
| Fairfield CA PD                  | 01: Gold Hill Rd WB x 680                                                                               |
| Fairfield CA PD                  | 02: Red Top EB x McGary Rd                                                                              |
| Fairfield CA PD                  | 03: Lopes Rd SB @ Cordelia                                                                              |
| Fairfield CA PD                  | 04: Lopes NB on Southside                                                                               |
| Fairfield CA PD                  | 05: Beck X W Texas                                                                                      |
| Fairfield CA PD                  | 06: W Texas X Beck                                                                                      |
| Fairfield CA PD                  | 07: N Texas NB @ Empire                                                                                 |
| Fairfield CA PD                  | 08: Travis EB @ 80                                                                                      |
| Fairfield CA PD                  | 09: Airbase EB @ Heath                                                                                  |
| Fairfield CA PD                  | 10: N Texas NB @ Air Base                                                                               |
| Fairfield CA PD                  | 11: N Texas SB @ Air Base                                                                               |
| Fairfield CA PD                  | 12: E Tabor EB @ N Texas                                                                                |
| Fairfield CA PD                  | 13: N Texas SB @ Manuel Campos                                                                          |
| Fairfield CA PD                  | 14: Beck NB @ Woolner                                                                                   |
| Fairfield CA PD                  | 15: Travis EB @ 80 Lane 2&3                                                                             |
| Fairfield CA PD                  | 16: Hilborn SB @ Lyon                                                                                   |
| Fairfield CA PD                  | 17: Hilborn NB x Waterman                                                                               |
| Fairfield CA PD                  | 18: Waterman WB x Hilborn                                                                               |
| Fairfield CA PD                  | 19: Heath Drive SB X Peach Tree                                                                         |
| Fairfield CA PD                  | 20: E Tabor WB @ Grande                                                                                 |
| Fairfield CA PD                  | 21: E Tabor EB x Manor Pl                                                                               |
| Fairfield CA PD                  | 22: Travis WB @ Holiday                                                                                 |
| Fairfield CA PD                  | 23: Oliver NB x HWY 80                                                                                  |
| Fairfield CA PD                  | 24: Oliver SB x HWY 80                                                                                  |
| Fairfield CA PD                  | 25: Oliver NB x Rockville                                                                               |
| Fairfield CA PD                  | 26: Jackson NB x HWY 12                                                                                 |
| Fairfield CA PD                  | 27: Webster NB x HWY 12                                                                                 |
| Fairfield CA PD                  | 28: Pennsylvania NB x HWY 12                                                                            |
| Fairfield CA PD                  | 29: Beck NB x HWY 12                                                                                    |
| Fairfield CA PD                  | 30: Beck SB x Courage                                                                                   |
| Fairfield CA PD                  | 31: Chadbourne WB x Auto Mall                                                                           |
| Fairfield CA PD                  | 32: Auto Mall NB x Chadbourne                                                                           |
| Fairfield CA PD                  | 33: Neitzel Rd x HWY 80                                                                                 |
| Fairfield CA PD                  | 34: Red Top SB x HWY 12                                                                                 |
| Fairfield CA PD                  | 35: Suisun Valley NB X Business Center Dr                                                               |
| Fairfield CA PD                  | 36: Pittman SB X I-80                                                                                   |
| Fairfield CA PD                  | 37: Lopes SB x HWY 80                                                                                   |
| Fairfield CA PD                  | 38: Green Valley NB x HWY 80                                                                            |
| Fairfield CA PD                  | LPR001 - FTC (SB)                                                                                       |
| Fairfield CA PD                  | LPR002 - FTC (SB)                                                                                       |
| Fairfield CA PD                  | LPR003 - Parkway Gardens (EB)                                                                           |
| Fairfield CA PD                  | LPR004 - Parkway Garden (WB)                                                                            |
| Fairfield CA PD                  | LPR005 - Oliver Road PnR (NB)                                                                           |
| Fairfield CA PD                  | LPR006 - Oliver Road PnR (SEB)                                                                          |
| Fairfield CA PD                  | LPR007 - Grande Circle (SB)                                                                             |
| Fairfield CA PD                  | LPR008 - Grande Circle (NB)                                                                             |
| Fairfield CA PD                  | LPR009 - Grande Circle (East) - NB                                                                      |
| Fairfield CA PD                  | LPR010 - Grande Circle (East) SB                                                                        |
| Fairfield CA PD                  | LPR011 - Phoenix Drive SB                                                                               |
| Fairfield CA PD                  | LPR012 - Phoenix Drive NB                                                                               |
| Fairfield CA PD                  | LPR013 - Dana Drive (SB)                                                                                |
| Fairfield CA PD                  | LPR014 - Dana Drive (NB)                                                                                |
| Fairfield CA PD                  | LPR015 - Dana Drive (WB)                                                                                |
| Fairfield CA PD                  | LPR016 - Dana Drive (EB)                                                                                |
| Fairfield CA PD                  | LPR017 - Allan Witt Park (NB)                                                                           |
| Fairfield CA PD                  | LPR018 - Allan Witt Park (SB)                                                                           |
| Flock Safety PD                  | #01 - Howell Mill @ 14th - NB                                                                           |
| Flock Safety PD                  | testDeviceName                                                                                          |
| Gilroy CA PD                     | #01 Leavesley Rd @ Arroyo Cir - WB                                                                      |
| Gilroy CA PD                     | #02 Monterey St @ Day Rd - SB                                                                           |
| Gilroy CA PD                     | #03 E 10th St @ S/B 101 Off Ramp - WB                                                                   |
| Gilroy CA PD                     | #04 E 6th St @ 101 Over Pass - WB                                                                       |
| Gilroy CA PD                     | #05 Monterey @ Leavesley Rd NB                                                                          |
| Gilroy CA PD                     | #06 Pacheco Pass Hwy @ NB 101 Off Ramp - EB                                                             |
| Gilroy CA PD                     | #07 Pacheco Pass Hwy @ NB 101 Off Ramp - EB                                                             |
| Gilroy CA PD                     | #08 Pacheco Pass Hwy @ Gilroy Foods - WB                                                                |
| Gilroy CA PD                     | #09 Santa Teresa Blvd @ Day Rd - SB                                                                     |
| Gilroy CA PD                     | #10 SR 152 @ Burchell Rd - EB                                                                           |
| Gilroy CA PD                     | #11 No Name Uno @ St. Louise Regional Hospital - NB                                                     |
| Gilroy CA PD                     | #12 Leavesley Rd @ 101 Off Ramp - WB                                                                    |
| Gilroy CA PD                     | #13 Leavesley Rd @ 101 Off Ramp - WB                                                                    |
| Gilroy CA PD                     | #14 Leavesly Rd @ NB 101 On Ramp - WB                                                                   |
| Gilroy CA PD                     | #15 Leavesley Rd @ Arroyo Cir - EB                                                                      |
| Gilroy CA PD                     | #16 Santa Teresa Blvd @ 1st St - NB                                                                     |
| Gilroy CA PD                     | #17 Santa Teresa Blvd @ Rosetta Way - SB                                                                |
| Gilroy CA PD                     | #18 Hecker Pass Rd @ Burchell Rd - WB                                                                   |
| Gilroy CA PD                     | #19 Camino Arroyo @ Pacheco Pass - NB                                                                   |
| Gilroy CA PD                     | #20 Camino Arroyo @ Pacheco Pass - SB                                                                   |
| Gilroy CA PD                     | #21 E 10th St @ Monterey Rd - EB                                                                        |
| Gilroy CA PD                     | #22 W 10th St @ Monterey Rd - WB                                                                        |
| Gilroy CA PD                     | #23 Camino Arroyo Cir @ Gilman Rd - NB                                                                  |
| Gilroy CA PD                     | #24 Monterey Rd @ 6th St - NB                                                                           |
| Gilroy CA PD                     | #25 Monterey Rd @ 3rd St - SB                                                                           |
| Gilroy CA PD                     | #26 Camino Arroyo @ Gilman - SB                                                                         |
| Gilroy CA PD                     | #27 No Name Uno @ Cohansey Ave - SB                                                                     |
| Gilroy CA PD                     | #28 Pacheco Pass Hwy @ Cameron Blvd - EB                                                                |
| Gilroy CA PD                     | #29 Santa Teresa Blvd @ Day Rd - NB                                                                     |
| Gilroy CA PD                     | #30 Monterey Rd @ SB 101 Off Ramp - NB                                                                  |
| Gilroy CA PD                     | #31 Bolsa Rd @ Garlic Farm Dr - SB                                                                      |
| Gilroy CA PD                     | #32 Monterey Rd @ SB 101 Off Ramp - NB                                                                  |
| Gilroy CA PD                     | #33 Travel Park Cir @ Bolsa Rd - EB                                                                     |
| Gilroy CA PD                     | #34 Leavesley Rd @ San Ysidro Ave - EB                                                                  |
| Gilroy CA PD                     | #35 Leavesley Rd @ San Ysidro Ave - EB                                                                  |
| Hayward CA PD                    | #01 EB A St @ 3rd St                                                                                    |
| Hayward CA PD                    | #02 EB A St @ Santa Clara St                                                                            |
| Hayward CA PD                    | #03 NB Foothill Blvd (238 On Ramp lanes) @ Cotter Way                                                   |
| Hayward CA PD                    | #04 NB Hesperian Blvd @ S Pepsi Dr                                                                      |
| Hayward CA PD                    | #05 EB Tennyson Rd @ E 12th St                                                                          |
| Hayward CA PD                    | #06 WB Whipple Rd (Lane 2 and 880 On Ramp) @ Industrial Pkwy SW                                         |
| Hayward CA PD                    | #07 SB Foothill Blvd @ A St                                                                             |
| Hayward CA PD                    | #08 WB Santa Clara St @ W Harder Rd                                                                     |
