> SELECT n.name agency, c.name camera FROM network n INNER JOIN camera c ON n.network_id = c.network_id ORDER BY n.name, c.name LIMIT 2000;
+----------------------------------+---------------------------------------------------------------------------------------------------------+
| agency                           | camera                                                                                                  |
| Vacaville CA PD                  | #55 Nut Tree Rd NB from Marshall                                                                        |
| Vacaville CA PD                  | #56 Foxboro Pkwy EB from Peabody Rd                                                                     |
| Vacaville CA PD                  | #57 Alamo Dr NB to Davis St                                                                             |
| Vacaville CA PD                  | #58 Alamo Dr SM from Beythe Ln                                                                          |
| Vacaville CA PD                  | #59 Peabody Rd SB to Hume Wy                                                                            |
| Vacaville CA PD                  | #60 Ulatis Dr EB from Nut Tree Rd                                                                       |
| Vacaville CA PD                  | #61 Vaca Valley Pkwy WB from Browns Valley Rd                                                           |
| Vacaville CA PD                  | #62 Wrentham Dr NB to Vaca Valley Pkwy                                                                  |
| Vacaville CA PD                  | Alamo / Butcher Overview (Stream)                                                                       |
| Vacaville CA PD                  | Alamo / Butcher from I80                                                                                |
| Vacaville CA PD                  | Alamo / Merchant Overview (Stream)                                                                      |
| Vacaville CA PD                  | Alamo Butcher from Merchant OC                                                                          |
| Vacaville CA PD                  | Alamo Butcher toward On Ramp                                                                            |
| Vacaville CA PD                  | Alamo Off Ramp from WB 80 2                                                                             |
| Vacaville CA PD                  | Alamo On Ramp to WB 80                                                                                  |
| Vacaville CA PD                  | Alamo SB from El Camino to Merchant (Stream)                                                            |
| Vacaville CA PD                  | Alamo Toward Leisure Town from Vanden                                                                   |
| Vacaville CA PD                  | Alamo Toward Vanden from Meadowlark                                                                     |
| Vacaville CA PD                  | Allison / Nut Tree Pkwy Overview (Stream)                                                               |
| Vacaville CA PD                  | Allison Dr. SB to Ulatis Dr.                                                                            |
| Vacaville CA PD                  | Allison Overcross Entrance to I80 EB                                                                    |
| Vacaville CA PD                  | Browns Valley SB to EMV - 80 WB On Ramp                                                                 |
| Vacaville CA PD                  | Cliffside Off Ramp from I80 EB                                                                          |
| Vacaville CA PD                  | Cliffside On Ramp to I80 EB                                                                             |
| Vacaville CA PD                  | Davis / Bella Vista Overview (Stream)                                                                   |
| Vacaville CA PD                  | Davis / Hickory Off Ramp from WB 80 (Cloud)                                                             |
| Vacaville CA PD                  | Davis / Hickory on Ramp to WB 80                                                                        |
| Vacaville CA PD                  | Davis NB / Bella Vista to EB 80 On Ramp RW doors                                                        |
| Vacaville CA PD                  | Davis NB at Hume                                                                                        |
| Vacaville CA PD                  | Davis NB from Hickory to Downtown                                                                       |
| Vacaville CA PD                  | Davis NB to EB 80 On Ramp (RW doors) (Stream)                                                           |
| Vacaville CA PD                  | Davis SB From Bella Vista To Marshall                                                                   |
| Vacaville CA PD                  | Davis – Hickory Overview (Stream)                                                                       |
| Vacaville CA PD                  | Davis/Bella Vista WB to EB I80 (Sonic)                                                                  |
| Vacaville CA PD                  | Depot NB to EMV (Stream)                                                                                |
| Vacaville CA PD                  | Depot SB to Mason (Stream)                                                                              |
| Vacaville CA PD                  | E. Monte Vista EB to Nut tree Rd LPR                                                                    |
| Vacaville CA PD                  | E. Monte Vista to 80 eastbound from Nut Tree Road (lowes)                                               |
| Vacaville CA PD                  | EB E Monte Vista to Browns Valley I80 On ramp (Panda)                                                   |
| Vacaville CA PD                  | EB Merchant from Alamo Dr to S. Orchard                                                                 |
| Vacaville CA PD                  | EB Nut Tree from Allison                                                                                |
| Vacaville CA PD                  | EMV EB from I80 Off Ramp (Boudin)                                                                       |
| Vacaville CA PD                  | EMV EB to Allison                                                                                       |
| Vacaville CA PD                  | EMV WB to Allison                                                                                       |
| Vacaville CA PD                  | EMV WB toward 80 WB on ramp (Panera)                                                                    |
| Vacaville CA PD                  | EMV on Ramp to I80 WB (Bestbuy) LPR                                                                     |
| Vacaville CA PD                  | EMV – Allison Overview (Stream)                                                                         |
| Vacaville CA PD                  | EMV – Browns Valley Overview (Stream)                                                                   |
| Vacaville CA PD                  | EMV – Nut Tree Rd Overview (Stream)                                                                     |
| Vacaville CA PD                  | Hume to NB Davis (Stream)                                                                               |
| Vacaville CA PD                  | Leisure Town to Fry from Chateau                                                                        |
| Vacaville CA PD                  | Mason / Depot Overview (Stream)                                                                         |
| Vacaville CA PD                  | Mason EB to Elmira Overcross (Stream)                                                                   |
| Vacaville CA PD                  | Mason EB to SB Peabody (Stream)                                                                         |
| Vacaville CA PD                  | Mason WB at McClellan (Stream)                                                                          |
| Vacaville CA PD                  | Mason on Ramp to WB 80 (Stream)                                                                         |
| Vacaville CA PD                  | NB Allison at Nut Tree Parkway                                                                          |
| Vacaville CA PD                  | NB Peabody Rd at Prison toVV                                                                            |
| Vacaville CA PD                  | Nut Tree Pkwy @ Nut Tree Road (Overview)                                                                |
| Vacaville CA PD                  | Nut Tree Pkwy EB to SB Nut Tree Rd                                                                      |
| Vacaville CA PD                  | Nut Tree Pkwy WB from Nut Tree Rd                                                                       |
| Vacaville CA PD                  | Nut Tree Road South bound to E. Monte Vista from nut tree village                                       |
| Vacaville CA PD                  | Orange Dr EB from Outlets Right (Nike) LPR                                                              |
| Vacaville CA PD                  | Orange Dr EB to 505 from  outlets (Nike)                                                                |
| Vacaville CA PD                  | Orange Dr EB to Lawrence / 80 (edward earl)                                                             |
| Vacaville CA PD                  | Orange Dr WB from Lawrence                                                                              |
| Vacaville CA PD                  | Orange Dr – Lawrence Overview (Stream)                                                                  |
| Vacaville CA PD                  | Orange WB from 505 Right lane Chevron                                                                   |
| Vacaville CA PD                  | Orange WB from 505 left lane  Chevron                                                                   |
| Vacaville CA PD                  | Peabody – Alamo (Stream)                                                                                |
| Vacaville CA PD                  | Peabody – Cliffside Overview (Stream)                                                                   |
| Vacaville CA PD                  | SB Alamo Dr at Merchant from El Camino Ave                                                              |
| Vacaville CA PD                  | SB Peabody from Prison to FFLD                                                                          |
| Vacaville CA PD                  | Vanden to Fairfield SB                                                                                  |
| Vacaville CA PD                  | Vanden to Vacaville NB                                                                                  |
| Vacaville CA PD                  | WB EMV at murrillos                                                                                     |
| Vacaville CA PD                  | WB Merchant to NB Alamo Dr                                                                              |
| Vacaville CA PD                  | WB Merchant to SB Alamo Dr                                                                              |
| Vacaville CA PD                  | WB Merchant to SB Alamo Dr (Cloud)                                                                      |
| Vacaville CA PD                  | WB Nut Tree to NB Allison/I 80 on ramp                                                                  |
| Vacaville CA PD                  | WB Nut Tree to SB Allison                                                                               |
| Vacaville CA PD                  | xStream active -Davis / Hickory Off Ramp from WB 80 2                                                   |
| Vallejo CA PD                    | #01 Mini Dr EB at Broadway                                                                              |
| Vallejo CA PD                    | #02 Mini Dr WB at Broadway                                                                              |
| Vallejo CA PD                    | #03 Fairgrounds Dr NB at Route 37                                                                       |
| Vallejo CA PD                    | #04 Fairgrounds Dr SB at Gateway Dr                                                                     |
| Vallejo CA PD                    | #05 Flosden Rd SB at Fairgrounds Dr                                                                     |
| Vallejo CA PD                    | #06 Flosden Rd NB at Corcoran Ave                                                                       |
| Vallejo CA PD                    | #07 Mini Dr SB at Violet Dr                                                                             |
| Vallejo CA PD                    | #08 Mini Dr NB at Violet Dr                                                                             |
| Vallejo CA PD                    | #09 Sage St. SB at Griffin Dr.                                                                          |
| Vallejo CA PD                    | #10 Sage St. NB at Griffin Dr.                                                                          |
| Vallejo CA PD                    | #11 Tennessee @ Mare Island Way WB                                                                      |
| Vallejo CA PD                    | #12 Mare Island Way SB x Tennessee                                                                      |
| Vallejo CA PD                    | #14 Railroad Ave SB x Mare Island Causeway                                                              |
| Vallejo CA PD                    | #15 Walnut Ave SB x Mare Island Causeway                                                                |
| Vallejo CA PD                    | #16 Azuar Dr SB x Flagship                                                                              |
| Vallejo CA PD                    | #17 Walnut Ave SB x Independence                                                                        |
| Vallejo CA PD                    | #18 Walnut Ave SB x 7th St                                                                              |
| Vallejo CA PD                    | #19 Flagship Dr SB x Sargo Ave                                                                          |
| Vallejo CA PD                    | #20 Azuar Dr SB x 13th St                                                                               |
| Vallejo CA PD                    | #21 Mini @ Sonoma - WB                                                                                  |
| Vallejo CA PD                    | #22 - Meadows @ Sonoma - WB                                                                             |
| Vallejo CA PD                    | #23 - Corcoran @ Fairgrounds - WB                                                                       |
| Vallejo CA PD                    | #24 - Broadway @ Hogan - SB                                                                             |
| Vallejo CA PD                    | #25 - Sonoma @ Ifland - SB                                                                              |
| Vallejo CA PD                    | #26 - Sacramento @ 37 - EB                                                                              |
| Vallejo CA PD                    | #27 - Wilson @ 37 - SB                                                                                  |
| Vallejo CA PD                    | #28 - Columbus @ Benicia - SB                                                                           |
| Vallejo CA PD                    | #29 - Benicia @ Columbus - WB                                                                           |
| Vallejo CA PD                    | #30 - Glen Cove @ 780 - NB                                                                              |
| Vallejo CA PD                    | #31 - Georgia @ Rollingwood - WB                                                                        |
| Vallejo CA PD                    | #32 - Sonoma @ Sequoia - NB                                                                             |
| Vallejo CA PD                    | #33 - Sonoma @ Sequoia - SB                                                                             |
| Vallejo CA PD                    | #34 - Georgia @ Santa Clara - WB                                                                        |
| Vallejo CA PD                    | #35 - 5th @ Lemon - NB                                                                                  |
| Vallejo CA PD                    | #36 - Grant @ Lemon - NB                                                                                |
| Vallejo CA PD                    | #37 - Sonoma @ Solano - NB                                                                              |
| Vallejo CA PD                    | #38 - Magazine @ Pine - WB                                                                              |
| Vallejo CA PD                    | #39 - Magazine @ Lincoln East - EB                                                                      |
| Vallejo CA PD                    | #40 - Lemon @ Cypress - NB                                                                              |
| Vallejo CA PD                    | #41 - Lemon @ Curtola - SB                                                                              |
| Vallejo CA PD                    | #42 - Curtola @ Lemon - WB                                                                              |
| Vallejo CA PD                    | #43 - Georgia @ 14th - WB                                                                               |
| Vallejo CA PD                    | #44 - Georgia @ Steffan - EB                                                                            |
| Vallejo CA PD                    | #45 - 80 WB OFF to Solano                                                                               |
| Vallejo CA PD                    | #46 - Solano @ Mariposa - WB                                                                            |
| Vallejo CA PD                    | #47 - Solano @ Miller - EB                                                                              |
| Vallejo CA PD                    | #48 - Tennessee @ Mariposa - WB                                                                         |
| Vallejo CA PD                    | #49 - Tennessee @ Humboldt - EB                                                                         |
| Vallejo CA PD                    | #50 - Admiral @ Henry - NB                                                                              |
| Vallejo CA PD                    | #51 - Redwood @ Fairgrounds - WB                                                                        |
| Vallejo CA PD                    | #52 - Fairgrounds @ Redwood - NB                                                                        |
| Vallejo CA PD                    | #53 - Redwood @ Admiral Callaghan - EB                                                                  |
| Vallejo CA PD                    | #54 - Valle Vista @ Fairgrounds - WB                                                                    |
| Vallejo CA PD                    | #55 - Admiral Callaghan @ Rotary - NB                                                                   |
| Vallejo CA PD                    | #56 - Mare Island @ Maine - NB                                                                          |
| Vallejo CA PD                    | #57 - Santa Clara @ Georgia - SB                                                                        |
| Vallejo CA PD                    | #58 - Maine @ Marin - WB                                                                                |
| Vallejo CA PD                    | #59 - York @ Marin - WB                                                                                 |
| Vallejo CA PD                    | #60 - Sacramento @ Georgia - SB                                                                         |
| Vallejo CA PD                    | #61 Hiddenbrooke Pkwy (Outbound)                                                                        |
| Vallejo CA PD                    | #61 NB Admiral Callaghan at Columbus                                                                    |
| Vallejo CA PD                    | #62 SB Admiral Callaghan Ln @ Columbus                                                                  |
| Vallejo CA PD                    | #63- Tennessee St @ Broadway EB                                                                         |
| Vallejo CA PD                    | #64- Nebraska St @ Broadway EB                                                                          |
| Vallejo CA PD                    | #65- Georgia St @ Monterey EB                                                                           |
| Vallejo CA PD                    | #68- Tennessee St @ Tuolumne St WB                                                                      |
| Vallejo CA PD                    | #70- Redwood ST WB @ Tuolumne St                                                                        |
| Vallejo CA PD                    | #71- Nebraska St WB @ Tuolumne St                                                                       |
| Vallejo CA PD                    | #72- Sereno Dr WB @ Tuolumne St                                                                         |
| Vallejo CA PD                    | #73- Tuolumne ST EB @ Broadway                                                                          |
| Vallejo CA PD                    | #74- Oakwood Ave SB @ Redwood Pkwy                                                                      |
| Vallejo CA PD                    | #75- N Ascot Pkwy SB @ Columbus Pkwy                                                                    |
| Vallejo CA PD                    | #76- Redwood Pkwy SB @ Columbus Pkwy                                                                    |
| Vallejo CA PD                    | #77- Benicia Rd EB @ Laurel St                                                                          |
| Vallejo CA PD                    | #79- Magazine St SB @ Laurel St                                                                         |
| Vallejo CA PD                    | #80- Fulton Ave EB @ Magazine St                                                                        |
| Vallejo CA PD                    | #82- Georgia St EB @ Mare Island Way                                                                    |
| Vallejo CA PD                    | #83- Tennessee St EB @ Sacramento St                                                                    |
| Vallejo CA PD                    | #84- Turner Pkwy NB @ N Ascot Pkwy                                                                      |
| Vallejo CA PD                    | #86- Springs Rd WB @ Columbus Pkwy                                                                      |
| Vallejo CA PD                    | #88- Broadway SB @ Redwood St                                                                           |
| Vallejo CA PD                    | #89- Florida St WB @ Tuolumne St                                                                        |
| Vallejo CA PD                    | #90- Ascot Pkwy WB @ Columbus Pkwy                                                                      |
| Vallejo CA PD                    | #92- Solano Ave EB @ 14th St                                                                            |
| Vallejo CA PD                    | #93 Lincoln @ Magazine - SB                                                                             |
| Vallejo CA PD                    | #94 Lincoln @ Pueblo Way - NB                                                                           |
| Vallejo CA PD                    | #96 Farragut @ Mare Island                                                                              |
| Vallejo CA PD                    | #97 Hiddenbrook @ McGary - Inbound                                                                      |
| Vallejo CA PD (Flex)             | 101: Falcon Flex 1                                                                                      |
| Vallejo CA PD (Flex)             | 102: Falcon Flex 2                                                                                      |
+----------------------------------+---------------------------------------------------------------------------------------------------------+
SELECT 1183
